question_num,question,subject
1,I enjoy solving puzzles and writing computer programs or playing coding games.,Computers
2,I love working with numbers and can solve maths problems quickly and easily.,Mathematics
3,I am curious about how medicines work and why chemical reactions happen.,Chemistry
4,I am fascinated by living things — plants animals and the human body.,Biology
5,I wonder about how gravity electricity and light work in the real world.,Physics
6,I enjoy reading about business how shops earn money and how banks work.,Commerce
7,I like understanding why people behave the way they do and what motivates them.,Psychology
8,I love reading about kings and queens wars and how ancient civilisations lived.,History
9,I enjoy playing sports outdoor games and physical fitness activities every day.,Physical Education
10,I love drawing painting or creating things with my hands for fun.,Design
