keywords,response
hello|hi|hey|howdy|good morning|good evening|good afternoon,"Hello! 👋 Welcome to VJTI CounselBot — your personal AI career counselor. I can help you explore career options, understand different streams (Science/Commerce/Arts), compare salaries, find entrance exams, and even run a personalised personality test. Just ask me anything! For a personalised career recommendation, type 'start my test'."
your name|who are you|introduce yourself|what are you,"I'm VJTI's CounselBot 🎓 — an intelligent career counseling assistant built specifically for students at every stage — Grade 10, Grade 12, and Undergraduate. I use a personality assessment + expert knowledge to guide you toward the career that best matches your interests and strengths. Ask me about any field — engineering, medicine, law, arts, business — I cover them all!"
bye|goodbye|see you|take care|talk later,"Goodbye! 🌟 Best of luck on your career journey. Remember — the right career is not just about money, it's about finding work that excites you every single day. Come back anytime you need guidance. You've got this! 👋"
thank|thanks|thx|appreciate|helpful,"You're most welcome! 😊 Helping students find the right career path is exactly what I'm here for. Feel free to ask more questions anytime — about streams, entrance exams, salaries, or specific careers. If you haven't already, try the personality test for a personalised recommendation!"
start my test|take test|begin test|personality test|start test,"Great choice! 🎯 Scroll down to start your personalised personality assessment. The test has 10 simple questions — just rate how strongly you agree or disagree with each statement. Based on your answers, I'll recommend the TOP 3 fields that best match YOUR interests. The more honestly you answer, the more accurate your results will be!"
engineering|btech|b.tech|jee|iit|nit,"Engineering is one of India's most popular and high-paying career paths! 🔧\n\n🎓 **Degree:** B.Tech / B.E (4 years)\n\n📚 **Top Branches:**\n• Computer Science & IT — highest demand, ₹5–50+ LPA\n• Mechanical — manufacturing, automotive, aerospace\n• Civil — construction, infrastructure, urban planning\n• Electrical/Electronics — power, IoT, embedded systems\n• Chemical — pharma, petrochemicals, food tech\n\n📝 **Key Entrance Exams:**\n• JEE Main → NITs, IIITs, GFTIs (1.2 million aspirants)\n• JEE Advanced → IITs (top 2.5 lakh from JEE Main)\n• MHT-CET → Maharashtra colleges including VJTI\n• BITSAT → BITS Pilani\n\n💰 **Salary Range:** ₹3–50+ LPA depending on branch and company\n\n🏆 **Top Recruiters:** Google, Microsoft, TCS, Infosys, L&T, ISRO, DRDO\n\nWant to know about a specific branch? Ask me!"
computer science|software|coding|programming|information technology|it field,"Computer Science is the #1 career field of the 21st century! 💻\n\n🎯 **Career Roles:**\n• Software Engineer / Developer — ₹5–40 LPA\n• Full-Stack Web Developer — ₹4–25 LPA\n• Data Scientist / ML Engineer — ₹8–35 LPA\n• DevOps / Cloud Engineer — ₹8–30 LPA\n• Cybersecurity Analyst — ₹6–30 LPA\n• Mobile App Developer — ₹5–25 LPA\n\n🛠️ **Must-Learn Skills:**\n• Languages: Python, Java, JavaScript, C++\n• Frameworks: React, Node.js, Spring Boot, Django\n• Cloud: AWS, Azure, Google Cloud\n• Database: SQL, MongoDB, PostgreSQL\n\n🎓 **Degrees:** B.Tech CS/IT, BCA, B.Sc CS\n\n💰 **Top Salaries:** Google ₹1–3 Cr, Microsoft ₹50–90 LPA, TCS/Infosys ₹3–7 LPA (freshers)\n\n📈 **Growth:** 25% year-on-year — fastest growing field in India and globally."
data science|machine learning|artificial intelligence|ai|ml|deep learning|data analyst,"Data Science and AI/ML are the hottest fields of the decade! 🤖\n\n🎯 **Career Roles:**\n• Data Scientist — ₹8–30 LPA\n• ML Engineer — ₹10–40 LPA\n• AI Research Scientist — ₹15–60 LPA\n• Business Intelligence Analyst — ₹6–20 LPA\n• NLP Engineer — ₹12–35 LPA\n\n🛠️ **Skills to Learn:**\n• Python (NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch)\n• Statistics and Probability\n• SQL and Database Management\n• Data Visualisation (Tableau, Power BI, Matplotlib)\n\n📚 **Free Resources:**\n• Kaggle (free datasets + competitions)\n• Coursera (Andrew Ng's ML course)\n• NPTEL (IIT courses — free)\n• Google AI Education\n\n📈 **India Outlook:** 11 million data science jobs projected in India by 2026. Every industry — banking, healthcare, retail, government — now needs data professionals."
doctor|medicine|mbbs|medical|healthcare|neet|hospital|surgeon,"Medicine is one of India's most respected and rewarding careers! 🏥\n\n🎓 **Main Degrees:**\n• MBBS (5.5 years) — gateway to becoming a doctor\n• BDS — Dentist\n• B.Pharm — Pharmacist\n• BAMS — Ayurvedic Medicine\n• BHMS — Homeopathy\n• B.Sc Nursing, Physiotherapy, Radiology\n\n📝 **Entrance Exam:**\n• NEET-UG — only exam for all medical colleges in India\n• Top colleges: AIIMS Delhi, JIPMER, MAMC, Grant Medical College Mumbai\n\n🏆 **Specialisations after MBBS (MD/MS):**\nCardiology, Neurology, Orthopaedics, Paediatrics, Radiology, Psychiatry\n\n💰 **Salary:**\n• MBBS fresher government: ₹60,000–80,000/month\n• Specialist doctor: ₹2–15 LPA\n• Senior Surgeon / Consultant: ₹20–80 LPA\n\n📈 India's healthcare sector will reach $638 billion by 2025 — massive demand for doctors!"
law|lawyer|advocate|legal|clat|llb|court,"Law is a prestigious, intellectually stimulating and well-paying career! ⚖️\n\n🎓 **Degrees:**\n• BA LLB (5 years after 12th) — integrated law degree\n• LLB (3 years after graduation)\n• LLM — specialised postgraduate law degree\n\n📝 **Entrance Exams:**\n• CLAT — for National Law Universities (NLUs)\n• AILET — for NLU Delhi\n• LSAT India — for private law schools\n\n🏛️ **Career Paths:**\n• Corporate Lawyer — mergers, contracts, IP — ₹8–50+ LPA\n• Criminal Lawyer — courts and criminal defence — ₹3–15 LPA\n• Civil Litigation — civil disputes — ₹3–12 LPA\n• Judge — via judicial services exam\n• Legal Advisor at companies and banks\n• International Law / Human Rights Law\n\n💰 **Salary:** Entry ₹3–6 LPA, Senior Partners at top firms ₹50–2 Cr+\n\n🏆 **Top Law Schools:** NLSIU Bangalore, NLU Delhi, NALSAR Hyderabad, Symbiosis Pune"
commerce|ca|chartered accountant|finance|accounting|bcom|banking|mba finance,"Commerce offers some of India's most stable and high-paying careers! 📊\n\n🎓 **Degrees:**\n• B.Com (3 years) — foundation for CA, MBA, banking\n• BBA (3 years) — business administration\n• CA (Chartered Accountancy) — most respected finance qualification\n• CFA (Chartered Financial Analyst) — for investment banking\n• MBA Finance — from IIMs, XLRI, MDI\n\n📝 **CA Exam Stages:**\nFoundation → Intermediate → Final (3–5 years)\n\n💰 **Salaries:**\n• Fresher CA: ₹7–15 LPA\n• Investment Banker: ₹12–50 LPA\n• CFO at large company: ₹30–1 Cr+\n• Bank PO: ₹5–8 LPA\n• MBA Finance (IIM): ₹15–50 LPA\n\n🏆 **Top Recruiters:** Deloitte, EY, KPMG, PwC, Goldman Sachs, JP Morgan, SBI, HDFC, Kotak\n\n📈 India's finance sector grows 12–15% annually as the economy expands."
arts|humanities|history|geography|political science|sociology|literature,"Arts and Humanities offer surprisingly diverse and impactful careers! 🎭\n\n🎓 **Degrees:**\n• BA (History, Political Science, Sociology, English, Psychology)\n• BA LLB — Law\n• BMM — Mass Media and Journalism\n• BFA — Fine Arts\n\n🏆 **Career Paths:**\n• Civil Services (IAS/IPS/IFS) — most prestigious government career\n• Journalism and Media — TV, digital, print\n• Law — CLAT entrance\n• Psychology — clinical, HR, UX\n• Social Work — NGOs, government schemes\n• Teaching — B.Ed → school teacher\n• Diplomat / Foreign Service — IFS through UPSC\n• Human Resources (HR) Manager\n• Museum Curator / Historian\n\n💰 **IAS Officer starting salary:** ₹56,100/month + allowances + house + car\n\n📈 Don't underestimate Arts — 30%+ of IAS officers have Humanities backgrounds!"
psychology|psychologist|counseling|mental health|counselor,"Psychology is a rapidly growing, deeply rewarding career! 🧠\n\n🎓 **Degrees:**\n• BA/BSc Psychology (3 years)\n• MA/MSc Psychology (2 years)\n• PhD Psychology — for research and academic roles\n\n🏆 **Career Paths:**\n• Clinical Psychologist — therapy and mental health treatment — ₹5–15 LPA\n• Counselling Psychologist — schools, hospitals, private practice\n• Organisational Psychologist — HR, talent management — ₹6–20 LPA\n• School Counsellor — student wellbeing\n• UX Researcher — tech companies pay ₹8–25 LPA\n• Sports Psychologist — athletes and coaches\n• Neuropsychologist — brain-behaviour research\n\n📈 India has 150 million people needing mental healthcare but fewer than 10,000 trained psychologists — massive demand! Mental health awareness is growing fast post-COVID."
