question_num,question,stream
1,I want to argue cases in court and fight for justice and peoples rights.,Law
2,I want to become a doctor nurse or work in a hospital to heal people.,Healthcare
3,I enjoy leading teams taking charge of projects and making big decisions.,Management
4,I love building things fixing machines and understanding how engines work.,Engineering
5,I am good with numbers and enjoy managing money budgets and accounts.,Finance
6,I play sports seriously and dream of becoming a professional athlete or coach.,Sports
7,I love learning new languages reading books and writing stories or articles.,Language and Communication
8,I enjoy acting singing dancing or being on stage in front of an audience.,Performing Arts
9,I love drawing painting designing posters or making creative artwork.,Applied and Visual Arts
10,I enjoy solving complex science and maths problems and doing experiments.,Science and Math
