question_num,question,profession
1,I enjoy protecting computer systems from hackers and keeping data safe online.,Systems Security Administrator
2,I love studying how businesses work and using data to improve company processes.,Business Systems Analyst
3,I enjoy designing new software or apps and solving technical engineering problems.,Software Systems Engineer
4,I love working with large databases organising data and writing database queries.,Database Developer
5,I enjoy studying data charts and graphs and finding hidden patterns in numbers.,Business Intelligence Analyst
6,I like helping companies manage their customer relationships using software tools.,CRM Technical Developer
7,I love creating mobile apps and enjoy designing user-friendly smartphone features.,Mobile Applications Developer
8,I am passionate about making websites and apps easy to use and visually attractive.,UX Designer
9,I enjoy checking products carefully to ensure they meet quality and safety standards.,Quality Assurance Associate
10,I love building websites and enjoy working on both design and programming equally.,Web Developer
